rainfall_date;mm;basin_id
2020-07-26;757.1428571;2070594040b
2020-07-27;781.4285714;2070594040b
2020-07-28;805.7142857;2070594040b
2020-07-29;830.0000000;2070594040b
2020-07-30;854.2857143;2070594040b
2020-07-31;878.5714286;2070594040b
2020-08-01;902.8571429;2070594040b
2020-08-02;927.1428571;2070594040b
2020-08-03;951.4285714;2070594040b
2020-08-04;975.7142857;2070594040b
2020-08-05;1000.000000;2070594040b
2020-08-06;1024.285714;2070594040b
2020-08-07;1048.571429;2070594040b
2020-08-08;1072.857143;2070594040b
2020-08-09;1097.142857;2070594040b
2020-08-10;1121.428571;2070594040b
2020-08-11;1145.714286;2070594040b
2020-08-12;1170.000000;2070594040b
2020-08-13;1194.285714;2070594040b
2020-08-14;1218.571429;2070594040b
2020-08-15;1242.857143;2070594040b
2020-08-16;1267.142857;2070594040b
2020-08-17;1291.428571;2070594040b
2020-08-18;1315.714286;2070594040b
2020-08-19;1340.000000;2070594040b
2020-08-20;1364.285714;2070594040b
2020-08-21;1388.571429;2070594040b
2020-08-22;1412.857143;2070594040b
2020-08-23;1437.142857;2070594040b
2020-08-24;1461.428571;2070594040b
2020-08-25;1485.714286;2070594040b
2020-08-26;1510.000000;2070594040b
2020-08-27;1534.285714;2070594040b
2020-08-28;1558.571429;2070594040b
2020-08-29;1582.857143;2070594040b
2020-08-30;1607.142857;2070594040b
2020-08-31;1631.428571;2070594040b
2020-09-01;1655.714286;2070594040b
2020-09-02;1680.000000;2070594040b
2020-09-03;1704.285714;2070594040b
2020-09-04;1728.571429;2070594040b
2020-09-05;1752.857143;2070594040b
2020-09-06;1777.142857;2070594040b
2020-09-07;1801.428571;2070594040b
2020-09-08;1825.714286;2070594040b
2020-09-09;1850.000000;2070594040b
2020-09-10;1874.285714;2070594040b
2020-09-11;1898.571429;2070594040b
2020-09-12;1922.857143;2070594040b
2020-09-13;1947.142857;2070594040b
2020-09-14;1971.428571;2070594040b
2020-09-15;1995.714286;2070594040b
2020-09-16;2020.000000;2070594040b
2020-09-17;2044.285714;2070594040b
2020-09-18;2068.571429;2070594040b
2020-09-19;2092.857143;2070594040b
2020-09-20;2117.142857;2070594040b
2020-09-21;2141.428571;2070594040b
2020-09-22;2165.714286;2070594040b
2020-09-23;2190.000000;2070594040b
2020-09-24;2214.285714;2070594040b
2020-09-25;2238.571429;2070594040b
2020-09-26;2262.857143;2070594040b
2020-09-27;2287.142857;2070594040b
2020-09-28;2311.428571;2070594040b
2020-09-29;2335.714286;2070594040b
2020-09-30;2360.000000;2070594040b
2020-10-01;2384.285714;2070594040b
2020-10-02;2408.571429;2070594040b
2020-10-03;2432.857143;2070594040b
2020-10-04;2457.142857;2070594040b
2020-10-05;2481.428571;2070594040b
2020-10-06;2505.714286;2070594040b
2020-10-07;2530.000000;2070594040b
2020-10-08;2554.285714;2070594040b
2020-10-09;2578.571429;2070594040b
2020-10-10;2602.857143;2070594040b
2020-10-11;2627.142857;2070594040b
2020-10-12;2651.428571;2070594040b
2020-10-13;2675.714286;2070594040b
2020-10-14;2700.000000;2070594040b
2020-10-15;2724.285714;2070594040b
2020-10-16;2748.571429;2070594040b
2020-10-17;2772.857143;2070594040b
2020-10-18;2797.142857;2070594040b
2020-10-19;2821.428571;2070594040b
2020-10-20;2845.714286;2070594040b
2020-10-21;2870.000000;2070594040b
2020-10-22;2894.285714;2070594040b
2020-10-23;2918.571429;2070594040b
2020-10-24;2942.857143;2070594040b
2020-10-25;2967.142857;2070594040b
2020-10-26;2991.428571;2070594040b
2020-10-27;3015.714286;2070594040b
2020-10-28;3040.000000;2070594040b
2020-10-29;3064.285714;2070594040b
2020-10-30;3088.571429;2070594040b
2020-10-31;3112.857143;2070594040b
2020-11-01;3137.142857;2070594040b
2020-11-02;3161.428571;2070594040b
2020-11-03;3185.714286;2070594040b
2020-11-04;3210.000000;2070594040b
2020-11-05;3234.285714;2070594040b
2020-11-06;3258.571429;2070594040b
2020-11-07;3282.857143;2070594040b
2020-11-08;3307.142857;2070594040b
2020-11-09;3331.428571;2070594040b
